id,label
1,frog
2,deer
3,ship
4,deer
5,frog
6,deer
7,frog
8,frog
9,frog
10,deer
11,airplane
12,airplane
13,deer
14,airplane
15,airplane
16,deer
17,ship
18,deer
19,ship
20,frog
21,airplane
22,deer
23,deer
24,deer
25,ship
26,airplane
27,frog
28,deer
29,ship
30,frog
31,frog
32,ship
33,ship
34,airplane
35,airplane
36,frog
37,frog
38,frog
39,airplane
40,deer
41,frog
42,ship
43,ship
44,frog
45,deer
46,deer
47,frog
48,deer
49,frog
50,ship
51,deer
52,ship
53,deer
54,frog
55,airplane
56,ship
57,deer
58,airplane
59,deer
60,airplane
61,frog
62,airplane
63,ship
64,ship
65,ship
66,airplane
67,frog
68,frog
69,frog
70,frog
71,airplane
72,ship
73,airplane
74,ship
75,ship
76,airplane
77,frog
78,frog
79,frog
80,frog
81,airplane
82,frog
83,frog
84,ship
85,frog
86,frog
87,ship
88,frog
89,ship
90,deer
91,frog
92,frog
93,ship
94,deer
95,ship
96,deer
97,airplane
98,deer
99,deer
100,airplane
101,airplane
102,ship
103,airplane
104,frog
105,ship
106,ship
107,frog
108,airplane
109,deer
110,frog
111,deer
112,airplane
113,ship
114,deer
115,frog
116,airplane
117,frog
118,frog
119,ship
120,airplane
121,deer
122,airplane
123,deer
124,airplane
125,deer
126,deer
127,frog
128,airplane
129,airplane
130,frog
131,frog
132,airplane
133,ship
134,frog
135,frog
136,deer
137,ship
138,frog
139,airplane
140,deer
141,airplane
142,airplane
143,deer
144,ship
145,deer
146,frog
147,deer
148,airplane
149,ship
150,deer
151,deer
152,airplane
153,airplane
154,airplane
155,airplane
156,frog
157,ship
158,deer
159,airplane
160,airplane
161,ship
162,deer
163,deer
164,ship
165,deer
166,deer
167,airplane
168,frog
169,airplane
170,ship
171,ship
172,deer
173,airplane
174,deer
175,frog
176,frog
177,airplane
178,airplane
179,ship
180,airplane
181,deer
182,ship
183,ship
184,frog
185,ship
186,airplane
187,airplane
188,frog
189,ship
190,deer
191,airplane
192,deer
193,ship
194,ship
195,frog
196,deer
197,deer
198,ship
199,airplane
200,ship
201,ship
202,airplane
203,deer
204,ship
205,ship
